DEMOGRAPHICS,,,,,,,,,,WHAT ABOUT TIC TAC MOST APPEALS TO YOU?,,,,,,,WHAT INFLUENCED YOUR DECISION TO PURCHASE TIC TAC MINI PACKS?,,,,,,,,,WHERE DID YOU FIND THE PRODUCT? ,,WHERE DID YOU EXPECT TO FIND THE PRODUCT? ,,,WHICH BRAND OF CANDY/MINTS DO YOU TYPICALLy PURCHASE?  ,,,,,
Survey Respondent,Gender,Age Tier,Flavor Purchased, Did you purchase and try Tic Tac Mini Packs,When do you plan on trying the product?  ,"After trying the product, what did you like the most? ","After trying the product, what did you like the least?",What did you think of the flavor you redeemed? ,When was the last time you purchased a Tic Tac?  ,Tastes great,Easy to share,The unique flavors,It’s the perfect pick-me-up,Helps satisfy a craving,Helps me connect with others,Reminds me of my childhood,I like Tic Tac and wanted to try Tic Tac Mini Packs,"I wanted to try the flavors offered (Freshmint, Tropical Mix)",Tic Tac Mini Packs was more appealing than the candy/mints I usually buy,Tic Tac Mini Packs provided more value than the other candy/mints I usually buy,I like the convenience of the multi-serve packaging ,The Ibotta Rebate,"Other, please specify...","Other, please specify... [text",Were you able to easily find Tic Tac Mini Packs? ,Where did you find the product? ,Where did you find the product?  [other],Where did you expect to find the product? ,Where did you expect to find the product?  [other],Do you typically purchase a Multipack or Single Pack of candy/mints? ,Which brand of candy/mints do you typically purchase?  ,Which brand of candy/mints do you typically purchase?   [other],Would you consider yourself loyal to that brand? ,How likely are you to repurchase Tic Tac Mini Packs the next time you buy candy/mints? ,"In the future, how often would you purchase Tic Tac Mini Packs? ",Why would you likely not repurchase Tic Tac Mini Packs? 
Respondent 36,F,25-34,Multiple Flavors,Yes,,the convenience of the little bitty packs!,that there are only 4 in a pack!,Extremely Liked ,In the last month,1,1,,1,1,,,1,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month,
Respondent 37,F,25-34,Tropical Mix,Yes,,The size was perfect for sharing with my children.,The price without a coupon is more than I would usually pay.,Extremely Liked ,Four to seven days ago,,1,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 38,M,25-34,Freshmint,Yes,,The travel size. ,The amount in each pack,Moderately Liked  ,Two or three days ago,1,,,,,,,1,1,1,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 39,F,35-44,Multiple Flavors,Yes,,THAT YOU CAN PUT THEM IN A DISH AND SHARE,NOTHING LOVE THEM,Extremely Liked ,Longer than a month ago,1,1,,,1,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Ice Breakers,,"No, I’m not loyal to any brands ",Probably would ,Once a Week,
Respondent 40,F,35-44,Multiple Flavors,Yes,,Melin,Mango,Moderately Liked  ,Rarely or Never,,1,,,,,,,,,,,1,,,"No, it wasn’t where I expected to find it",,,The candy aisle,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 41,F,45-54,Multiple Flavors,Yes,,Melon flavor,Too many Smal pouches,Moderately Liked  ,Four to seven days ago,1,1,,,,,,,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands ",Might/Might Not ,Once a Month or less,
Respondent 42,F,25-34,Freshmint,Yes,,I could put a few packages in my purse and not have to take the whole package.,The little packets are a little hard to open.,Moderately Liked  ,In the last month,1,1,,,,,,,,,,,1,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Single Pack,Life Savers,,"No, I’m not loyal to any brands ",Probably would ,Once a Month or less,
Respondent 43,F,25-34,Freshmint,Yes,,The quantity,Price,Moderately Liked  ,In the last month,,,,,,,1,,,,,,1,,,"No, it wasn’t where I expected to find it",,,In the checkout lane with the other mints,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Probably would not ,,Price
Respondent 44,F,35-44,Tropical Mix,Yes,,The tiny packs,They tasted a bit funny,Moderately Disliked  ,Four to seven days ago,,1,,,,,,,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month,
Respondent 45,F,25-34,Tropical Mix,Yes,,I liked that they were a space saver in my purse ,I wish that there were more favors you could buy individually ,Moderately Liked  ,In the last month,1,1,1,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 46,F,45-54,Freshmint,Yes,,The individual packets so i can put them in my candy dish at work and share,Nothing i was very pleased,Extremely Liked ,Four to seven days ago,1,1,,,1,,,1,,1,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Life Savers,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 47,F,55-64,Tropical Mix,Yes,,Fit right in ur pocket,Nothing,Extremely Liked ,In the last month,1,1,,,,,1,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Mentos,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 48,F,35-44,Freshmint,Yes,,The easy open little packs ,I wish the bag was resealable. The whole thing dumped out in my car and I had to pick up the little packs. ,Moderately Liked  ,In the last month,1,1,1,,,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Life Savers,,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 49,F,55-64,Multiple Flavors,Yes,,the green bag,orange,Extremely Liked ,Today,,,,,1,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Altoids,,"No, I vary between a few different brands",Definitely would ,Once a Week,
Respondent 50,F,25-34,Freshmint,Yes,,The little individual packs. I like to give them out to friends.,Nothing.,Slightly Liked,Longer than a month ago,,,1,,,,,,,,1,1,1,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Single Pack,Skittles,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 51,F,25-34,Tropical Mix,Yes,,Accessible ,Nothing,Extremely Liked ,In the last month,,,,1,,,,,,,,,,1,My kid's wanted to try them,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Definitely would ,Once a Week,
Respondent 52,F,65+,Tropical Mix,Yes,,The single serve packs are convenient,Lots of extra plastic,Moderately Liked  ,Four to seven days ago,1,,,,1,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Skittles,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 53,F,35-44,Freshmint,Yes,,Mango,Too tiny of packs,Moderately Liked  ,In the last month,,,1,,1,,,,,,,,1,1,Fun for kids,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Breath Savers,,"No, I’m not loyal to any brands ",Might/Might Not ,Once a Month or less,
Respondent 54,F,15-24,Freshmint,Yes,,I like the individual packaging,As much as I like the individual packaging I also hate it for the environment ,Extremely Liked ,In the last month,1,1,,,1,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Starburst,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 55,F,35-44,Tropical Mix,Yes,,Just enough in each package,Nothing,Moderately Liked  ,Two or three days ago,1,,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 56,F,55-64,Multiple Flavors,Yes,,Taste,Price :),Moderately Liked  ,In the last month,1,,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 57,M,35-44,Tropical Mix,Yes,,The individual packs.,Na,Extremely Liked ,In the last month,1,1,,,1,,,1,1,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"Yes, I always purchase the same candy/mints brand",Probably would ,Every 2-3 Weeks,
Respondent 58,0,35-44,Tropical Mix,Yes,,The small individual packs.  Easy to carry,Nothing.  Flavor was great,Extremely Liked ,Two or three days ago,1,1,,,,,,,1,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Life Savers,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 59,F,35-44,Tropical Mix,Yes,,The flavor of them,that they don't last a long time in your mouth because they are little ,Extremely Liked ,Four to seven days ago,1,1,1,1,1,,1,,1,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 60,F,35-44,Tropical Mix,Yes,,Flavor,N/a,Extremely Liked ,Longer than a month ago,1,,,,,,,1,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 61,F,25-34,Multiple Flavors,Yes,,I like that all the packs are wrapped individually ,Nothing to complain about,Extremely Liked ,In the last month,1,1,1,,1,,,1,1,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 62,F,35-44,Multiple Flavors,Yes,,The size of the pack ,How hard the pack is to open without the tic tacs going everywhere,Extremely Liked ,Rarely or Never,,,,,1,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Skittles,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 63,F,35-44,Freshmint,Yes,,The size of the packs. Perfect for small purse or wallet ,Nothinh,Extremely Liked ,Rarely or Never,1,1,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands ",Probably would ,Once a Month,
Respondent 64,F,65+,Tropical Mix,Yes,,Small pack,Nothing,Moderately Liked  ,Longer than a month ago,1,1,1,,1,,1,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands ",Probably would ,Once a Month,
Respondent 65,F,35-44,Tropical Mix,Yes,,I liked it the same as the regular tic tacs.,Nothing,Extremely Liked ,In the last month,1,,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 66,F,35-44,Tropical Mix,Yes,,easy to carry around,nothing,Extremely Liked ,Longer than a month ago,1,,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Life Savers,,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 67,F,45-54,Freshmint,Yes,,Like the small packs with just the right amount of tic tacs,Na,Extremely Liked ,Two or three days ago,1,1,,1,1,,,1,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 68,F,45-54,Freshmint,Yes,,I loved how tiny the packets are. They are great for on the go!,"Nothing, they are great! ",Moderately Liked  ,In the last month,1,1,1,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 69,F,35-44,Multiple Flavors,Yes,,The individual packaging. ,Nothing.,Extremely Liked ,Longer than a month ago,1,1,1,,1,,1,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Definitely would ,Once a Week,
Respondent 70,F,25-34,Freshmint,Yes,,the small portion size and flavor,the big bag,Moderately Liked  ,In the last month,,,1,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Skittles,,"No, I’m not loyal to any brands ",Definitely would ,Once a Month,
Respondent 71,F,35-44,Tropical Mix,Yes,,Flavor,Flavor,Extremely Liked ,Four to seven days ago,1,1,,,1,,,1,1,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Altoids,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 72,F,25-34,Freshmint,Yes,,a lot of mint flavor in a tiny low calorie piece.,it had a kind of chalky taste at first because of the coating,Extremely Liked ,Longer than a month ago,,1,,,,,,,,,,,1,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Single Pack,Altoids,,"No, I’m not loyal to any brands ",Probably would ,Once a Month or less,
Respondent 73,F,65+,Multiple Flavors,Yes,,Small packaging ,N/a,Moderately Liked  ,Four to seven days ago,1,1,,1,,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 74,F,25-34,Multiple Flavors,Yes,,The convenience.,That they only come in two flavors.,Extremely Liked ,In the last month,1,1,1,,,,1,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 75,F,45-54,Tropical Mix,Yes,,Easy to carry in a purse,Multiple pieces in each pack,Extremely Liked ,In the last month,1,1,,,,,1,,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 76,F,55-64,Multiple Flavors,Yes,,still taste good but not sure i like such small packs,packaging,Extremely Liked ,In the last month,1,,1,,1,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"No, I’m not loyal to any brands ",Might/Might Not ,Once a Month,
Respondent 77,F,45-54,Freshmint,Yes,,The individual bags,Nothing,Extremely Liked ,In the last month,1,1,,,,,,1,,1,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 78,F,55-64,Tropical Mix,Yes,,Convenient ,Nothing ,Extremely Liked ,Longer than a month ago,1,1,,,,,,1,1,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 79,F,35-44,Freshmint,Yes,,Individual packets,Price,Slightly Liked,Rarely or Never,,1,,,1,,1,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Skittles,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 80,F,35-44,Freshmint,Yes,,The way you could distribute them hygienically if you want to.,They fall down to the bottom of your purse,Extremely Liked ,Four to seven days ago,,,,1,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Altoids,,"No, I vary between a few different brands",Definitely would ,Once a Month or less,
