DEMOGRAPHICS,,,,WHAT ABOUT TIC TAC MOST APPEALS TO YOU?,,,,,,,,,,,WHICH FLAVOR(S) DIDN'T APPEAL TO YOU? (SELECT ALL THAT APPLY),,,,,,,,,,,,,,,,,,
Survey Respondent,Gender,Age Tier, Did you unlock the Tic Tac Mini Packs rebate in the Ibotta app?,Easy to share with friends and family,Easy to share around the office with co-workers,It's the perfect pick-me-up,Helps satisfy a craving,Helps me connect with others,Reminds me of my childhood,When was the last time you tried a Tic Tac? ,We noticed you engaged with the Tic Tac Mini Packs rebate but didn’t redeem. Which of the statements below best describes your reason for not purchasing? ,We noticed you engaged with the Tic Tac Mini Packs rebate but didn’t redeem. Which of the statements below best describes your reason for not purchasing?  [other],Where did you expect to find the product?,Where did you expect to find the product? [other],Melon,Strawberry,Orange,Mango,Freshmint,Did you buy another brand of candy/mints instead of Tic Tac Mini Packs? ,Which type of Tic Tac did you purchase? ,Which flavor of Tic Tac did you purchase? ,Which flavor of Tic Tac did you purchase?  [other],Did you purchase a Multipack or Single Pack of candy/mints? ,Which brand of candy/mints did you choose to purchase? ,Which brand of candy/mints did you choose to purchase?  [other],Do you typically purchase a Multipack or Single Pack of candy/mints? ,Which brand of candy/mints do you typically purchase? ,Which brand of candy/mints do you typically purchase?  [other],Would you consider yourself loyal to that brand? ,How likely are you to consider choosing Tic Tac Mini Packs the next time you buy candy/mints? ,What flavor would you most likely purchase? ,Why would you consider choosing other brands before Tic Tac Mini Packs? 
Respondent 513,F,55-64,Yes,,,1,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 514,F,35-44,Yes,,,1,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,availablility
Respondent 515,F,45-54,Yes,1,,,,,,In the last month,"Other, please specify...",I forgot about it at the time I was in the store,,,,,,,,No,,,,,,,Single Pack,"Other, please specify...",I usely buy the store brand,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 516,F,25-34,Yes,1,,,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 517,F,35-44,Yes,1,1,,1,,,Yesterday,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Ice Breakers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 518,F,35-44,Yes,1,,,,,,Yesterday,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"No, I’m not loyal to any brands",It is my first choice ,Tropical Mix,
Respondent 519,M,35-44,Yes,1,,,,,,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,,,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,price
Respondent 520,F,25-34,Yes,1,,,1,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,"Other, please specify...",many different kinds of candy ,"No, I’m not loyal to any brands",I might consider choosing it but there are others I would choose more often,,other products are easier to find 
Respondent 521,F,35-44,Yes,1,,,,,,Longer than a month ago,"One or more of the Tic Tac Mini Packs flavors (Freshmint, Tropical Mix) didn’t appeal to me",,,,1,1,1,1,1,No,,,,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,I don't like their flavors
Respondent 522,F,35-44,Yes,1,,1,1,1,1,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Tropical Mix,
Respondent 523,F,45-54,Yes,1,,,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Life Savers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 524,F,35-44,Yes,1,,,,,1,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Mentos ,,,,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,I try different brands. 
Respondent 525,F,25-34,Yes,1,1,1,1,1,1,In the last month,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 526,F,25-34,Yes,1,,1,,,1,Four to seven days ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Skittles,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 527,F,25-34,Yes,,,1,1,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Mentos ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 528,F,55-64,Yes,1,1,,,,,Rarely or Never,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 529,F,45-54,Yes,,,,1,,,Four to seven days ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Orange ,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",It is my first choice ,Tropical Mix,
Respondent 530,F,35-44,Yes,,,,,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Breath Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 531,F,25-34,Yes,,,1,,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Ice Breakers,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 532,F,25-34,Yes,1,,,,,,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Ice Breakers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 533,F,25-34,Yes,1,,1,,,1,Four to seven days ago,"One or more of the Tic Tac Mini Packs flavors (Freshmint, Tropical Mix) didn’t appeal to me",,,,,1,,,1,"Yes, a different type of Tic Tac",Multipack ,Orange ,,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands",I might consider choosing it but there are others I would choose more often,,I'm usually getting gum
Respondent 534,F,35-44,Yes,1,,,,,,In the last month,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Skittles,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,price
Respondent 535,F,15-24,Yes,,,1,,,,Four to seven days ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Yes
Respondent 536,F,35-44,Yes,1,,1,1,,1,In the last month,"One or more of the Tic Tac Mini Packs flavors (Freshmint, Tropical Mix) didn’t appeal to me",,,,1,,,1,1,"Yes, a different type of Tic Tac",Single Pack,Tic Tac Mixers: Cherry to Cola ,,,,,Single Pack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 537,F,45-54,Yes,1,,1,1,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 538,F,25-34,Yes,,1,,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Tic Tac,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 539,F,35-44,Yes,1,,,,,,Four to seven days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 540,F,35-44,Yes,1,,1,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Skittles,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 541,F,15-24,Yes,,,,,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 542,F,55-64,Yes,,,1,1,,,Yesterday,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 543,F,25-34,Yes,,,,1,,,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Multipack,Mentos,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,"Always price.  I love Tic Tacs but they are always too expensive.  Even with this rebate, the big thing of Tic Tacs was still cheaper per ounce, and too expensive overall."
Respondent 544,F,35-44,Yes,,1,1,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Tic Tac Mixers: Cherry to Cola ,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 545,M,45-54,Yes,,,,1,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 546,F,35-44,Yes,,1,,,,,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Flavor
Respondent 547,F,55-64,Yes,1,,,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 548,F,35-44,Yes,1,,1,1,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 549,F,55-64,Yes,1,,1,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 550,F,15-24,Yes,1,,1,,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 551,F,15-24,Yes,1,1,,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,"Other, please specify...",5 gum,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 552,F,55-64,Yes,1,1,1,1,,,Today,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 553,F,35-44,Yes,1,,,,,,In the last month,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 554,F,35-44,Yes,,,1,1,1,,In the last month,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Skittles ,,,,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,If it is on sale I would but it.
Respondent 555,F,25-34,Yes,,,,1,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 556,F,35-44,Yes,1,,1,,,,In the last month,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Freshmint,,,,,Single Pack,Breath Savers,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Pricing
Respondent 557,F,35-44,Yes,1,,,1,,,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 558,M,25-34,Yes,1,1,,,1,,Yesterday,"Other, please specify...",Misplaced Receipt,,,,,,,,No,,,,,,,Multipack,Altoids,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 559,F,45-54,Yes,1,,,,,,Yesterday,"Other, please specify...",I was in a hurry,,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Altoids ,,,,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 560,F,35-44,Yes,1,,1,,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Tic Tac,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 561,F,35-44,Yes,1,,,,,,In the last month,"Other, please specify...",Didn't get to Walmart yet,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,"Other, please specify...",Mentos,,,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 562,F,25-34,Yes,1,1,,1,,,Today,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Altoids,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 563,F,45-54,Yes,,,,1,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Skittles,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Availability
Respondent 564,F,45-54,Yes,1,,1,,,1,Two or three days ago,"One or more of the Tic Tac Mini Packs flavors (Freshmint, Tropical Mix) didn’t appeal to me",,,,,1,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 565,F,25-34,Yes,1,,,,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 566,F,35-44,Yes,1,,1,,,,Longer than a month ago,"Other, please specify...",No time to shop around yet,,,,,,,,No,,,,,,,Multipack,Ice Breakers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 567,F,35-44,Yes,1,,,1,,,In the last month,There were other candy/mints that were more appealing than Tic Tac Mini Packs ,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Ice Breakers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 568,F,45-54,Yes,1,,,1,,1,In the last month,"Other, please specify...",Been real busy so I haven't gone shopping,,,,,,,,No,,,,,,,Single Pack,Skittles,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 569,F,35-44,Yes,1,1,1,,1,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 570,F,25-34,Yes,1,1,,1,,,Today,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 571,F,45-54,Yes,1,1,1,1,,,Two or three days ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 572,F,35-44,Yes,,,,,,1,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Skittles,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 573,F,35-44,Yes,1,,,,,1,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Orange ,,,,,Single Pack,Altoids,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 574,F,35-44,Yes,,,,1,,1,Today,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Freshmint,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 575,F,35-44,Yes,1,,,,,,Longer than a month ago,"Other, please specify...",I decided to get different rebate offers at that time.,,,,,,,,No,,,,,,,Single Pack,Skittles,,"No, I’m not loyal to any brands",It is my first choice ,Freshmint,
Respondent 576,F,35-44,Yes,,1,,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Starburst,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 577,M,25-34,Yes,1,,,,,1,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Freshmint,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 578,F,45-54,Yes,1,,,,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 579,M,25-34,Yes,1,,,,,,Yesterday,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Tic Tac Mixers: Cherry to Cola ,,,,,Single Pack,Ice Breakers,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 580,F,35-44,Yes,,,,1,,,Longer than a month ago,"One or more of the Tic Tac Mini Packs flavors (Freshmint, Tropical Mix) didn’t appeal to me",,,,1,1,,1,1,No,,,,,,,Single Pack,Skittles,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Availability and price.
Respondent 581,F,35-44,Yes,,,,1,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 582,F,45-54,Yes,,,1,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Breath Savers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 583,F,15-24,Yes,,,1,,,,In the last month,I was unable to find the product in the store,,With the chips and other snacks,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Mentos ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 584,F,25-34,Yes,,,1,1,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Orange ,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Tropical Mix,
Respondent 585,F,25-34,Yes,,,1,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,"Other, please specify...",Strawberry,,,,Single Pack,Tic Tac,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 586,F,35-44,Yes,,,,1,,,Yesterday,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Ice Breakers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 587,M,35-44,Yes,1,,,,,,In the last month,"Other, please specify...",Short on money,,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands",I might consider choosing it but there are others I would choose more often,,Price 
Respondent 588,F,25-34,Yes,1,1,1,1,,,Four to seven days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Mentos ,,,,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 589,F,25-34,Yes,,,1,,,,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Orange ,,,,,Single Pack,Starburst,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 590,F,25-34,Yes,1,1,,,,,In the last month,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands",I might consider choosing it but there are others I would choose more often,,Mainly because of the cost.
Respondent 591,F,35-44,Yes,,1,,,,,Two or three days ago,"Other, please specify...",Haven't finished the Tic Tacs I have at the moment,,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 592,F,15-24,Yes,,,,1,,,In the last month,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Mentos ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 593,F,35-44,Yes,,,1,,,,Two or three days ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Tic Tac Mixers: Cherry to Cola ,,,,,Multipack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 594,F,35-44,Yes,,,1,,,1,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Fruit Adventure ,,,,,Multipack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 595,F,55-64,Yes,1,,,,,,Yesterday,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 596,F,45-54,Yes,,,1,,,,In the last month,"Other, please specify...",Wasn't able to get out because of health.,,,,,,,,No,,,,,,,Multipack,Tic Tac,,"No, I vary between a few different brands",It is my first choice ,Tropical Mix,
Respondent 597,F,25-34,Yes,,,,,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
